,Unnamed: 0,Time,ValueRAW,Value,RealConcentration,PreConc
0,0,2021-05-28 19:01:21.585,32585,1018.28125,0,0
1,1,2021-05-28 19:01:22.106,32581,1018.15625,0,0
2,2,2021-05-28 19:01:22.629,32576,1018.0,0,0
3,3,2021-05-28 19:01:23.166,32575,1017.96875,0,0
4,4,2021-05-28 19:01:23.689,32573,1017.90625,0,0
5,5,2021-05-28 19:01:24.224,32573,1017.90625,0,0
6,6,2021-05-28 19:01:24.747,32570,1017.8125,0,0
7,7,2021-05-28 19:01:25.282,32570,1017.8125,0,0
8,8,2021-05-28 19:01:25.804,32566,1017.6875,0,0
9,9,2021-05-28 19:01:26.328,32566,1017.6875,0,0
10,10,2021-05-28 19:01:26.864,32563,1017.59375,0,0
11,11,2021-05-28 19:01:27.385,32564,1017.625,0,0
12,12,2021-05-28 19:01:27.907,32567,1017.71875,0,0
13,13,2021-05-28 19:01:28.429,32563,1017.59375,0,0
14,14,2021-05-28 19:01:28.950,32561,1017.53125,0,0
15,15,2021-05-28 19:01:29.473,32560,1017.5,0,0
16,16,2021-05-28 19:01:30.009,32560,1017.5,0,0
17,17,2021-05-28 19:01:30.533,32556,1017.375,0,0
18,18,2021-05-28 19:01:31.074,32556,1017.375,0,0
19,19,2021-05-28 19:01:31.620,32556,1017.375,0,0
20,20,2021-05-28 19:01:32.144,32554,1017.3125,0,0
21,21,2021-05-28 19:01:32.678,32554,1017.3125,0,0
22,22,2021-05-28 19:01:33.201,32552,1017.25,0,0
23,23,2021-05-28 19:01:33.736,32552,1017.25,0,0
24,24,2021-05-28 19:01:34.257,32552,1017.25,0,0
25,25,2021-05-28 19:01:34.780,32550,1017.1875,0,0
26,26,2021-05-28 19:01:35.316,32551,1017.21875,0,0
27,27,2021-05-28 19:01:35.839,32547,1017.09375,0,0
28,28,2021-05-28 19:01:36.373,32547,1017.09375,0,0
29,29,2021-05-28 19:01:36.896,32546,1017.0625,0,0
30,30,2021-05-28 19:01:37.431,32546,1017.0625,0,0
31,31,2021-05-28 19:01:37.954,32545,1017.03125,0,0
32,32,2021-05-28 19:01:38.488,32544,1017.0,0,0
33,33,2021-05-28 19:01:39.012,32542,1016.9375,0,0
34,34,2021-05-28 19:01:39.547,32540,1016.875,0,0
35,35,2021-05-28 19:01:40.069,32543,1016.96875,0,0
36,36,2021-05-28 19:01:40.592,32538,1016.8125,0,0
37,37,2021-05-28 19:01:41.127,32540,1016.875,0,0
