,Unnamed: 0,Time,ValueRAW,Value,RealConcentration,PreConc
0,0,2021-06-09 21:19:46.268,32138,1004.3125,0.75,0
1,1,2021-06-09 21:19:46.790,32115,1003.59375,0.75,0
2,2,2021-06-09 21:19:47.314,32099,1003.09375,0.75,0
3,3,2021-06-09 21:19:47.846,32090,1002.8125,0.75,0
4,4,2021-06-09 21:19:48.371,32082,1002.5625,0.75,0
5,5,2021-06-09 21:19:48.921,32082,1002.5625,0.75,0
6,6,2021-06-09 21:19:49.446,32063,1001.96875,0.75,0
7,7,2021-06-09 21:19:49.983,32062,1001.9375,0.75,0
8,8,2021-06-09 21:19:50.505,32042,1001.3125,0.75,0
9,9,2021-06-09 21:19:51.028,32033,1001.03125,0.75,0
10,10,2021-06-09 21:19:51.555,32020,1000.625,0.75,0
11,11,2021-06-09 21:19:52.079,31999,999.96875,0.75,0
12,12,2021-06-09 21:19:52.618,32005,1000.15625,0.75,0
13,13,2021-06-09 21:19:53.143,32008,1000.25,0.75,0
14,14,2021-06-09 21:19:53.679,32000,1000.0,0.75,0
15,15,2021-06-09 21:19:54.202,32001,1000.03125,0.75,0
16,16,2021-06-09 21:19:54.725,31999,999.96875,0.75,0
17,17,2021-06-09 21:19:55.247,32000,1000.0,0.75,0
18,18,2021-06-09 21:19:55.773,31991,999.71875,0.75,0
19,19,2021-06-09 21:19:56.325,32001,1000.03125,0.75,0
20,20,2021-06-09 21:19:56.859,32002,1000.0625,0.75,0
21,21,2021-06-09 21:19:57.383,31996,999.875,0.75,0
22,22,2021-06-09 21:19:57.921,31998,999.9375,0.75,0
23,23,2021-06-09 21:19:58.445,31986,999.5625,0.75,0
24,24,2021-06-09 21:19:58.982,31981,999.40625,0.75,0
25,25,2021-06-09 21:19:59.506,31999,999.96875,0.75,0
26,26,2021-06-09 21:20:00.043,32005,1000.15625,0.75,0
27,27,2021-06-09 21:20:00.567,31996,999.875,0.75,0
28,28,2021-06-09 21:20:01.106,32007,1000.21875,0.75,0
29,29,2021-06-09 21:20:01.648,32002,1000.0625,0.75,0
30,30,2021-06-09 21:20:02.173,32005,1000.15625,0.75,0
31,31,2021-06-09 21:20:02.695,32000,1000.0,0.75,0
32,32,2021-06-09 21:20:03.221,31994,999.8125,0.75,0
33,33,2021-06-09 21:20:03.752,31998,999.9375,0.75,0
34,34,2021-06-09 21:20:04.285,31978,999.3125,0.75,0
35,35,2021-06-09 21:20:04.836,31982,999.4375,0.75,0
36,36,2021-06-09 21:20:05.361,31992,999.75,0.75,0
37,37,2021-06-09 21:20:05.898,31991,999.71875,0.75,0
38,38,2021-06-09 21:20:06.429,31994,999.8125,0.75,0
39,39,2021-06-09 21:20:06.967,32007,1000.21875,0.75,0
40,40,2021-06-09 21:20:07.507,32018,1000.5625,0.75,0
41,41,2021-06-09 21:20:08.031,32017,1000.53125,0.75,0
42,42,2021-06-09 21:20:08.568,31991,999.71875,0.75,0
43,43,2021-06-09 21:20:09.093,31982,999.4375,0.75,0
44,44,2021-06-09 21:20:09.631,31983,999.46875,0.75,0
45,45,2021-06-09 21:20:10.154,31984,999.5,0.75,0
