,Unnamed: 0,Time,ValueRAW,Value,RealConcentration,PreConc
0,0,2021-05-28 22:50:27.980,32638,1019.9375,0,0
1,1,2021-05-28 22:50:28.500,32637,1019.90625,0,0
2,2,2021-05-28 22:50:29.023,32637,1019.90625,0,0
3,3,2021-05-28 22:50:29.550,32634,1019.8125,0,0
4,4,2021-05-28 22:50:30.072,32634,1019.8125,0,0
5,5,2021-05-28 22:50:30.593,32632,1019.75,0,0
6,6,2021-05-28 22:50:31.117,32631,1019.71875,0,0
7,7,2021-05-28 22:50:31.657,32630,1019.6875,0,0
8,8,2021-05-28 22:50:32.186,32628,1019.625,0,0
9,9,2021-05-28 22:50:32.723,32626,1019.5625,0,0
10,10,2021-05-28 22:50:33.249,32626,1019.5625,0,0
11,11,2021-05-28 22:50:33.772,32626,1019.5625,0,0
12,12,2021-05-28 22:50:34.306,32626,1019.5625,0,0
13,13,2021-05-28 22:50:34.829,32624,1019.5,0,0
14,14,2021-05-28 22:50:35.363,32622,1019.4375,0,0
15,15,2021-05-28 22:50:35.885,32624,1019.5,0,0
16,16,2021-05-28 22:50:36.409,32622,1019.4375,0,0
17,17,2021-05-28 22:50:36.950,32621,1019.40625,0,0
18,18,2021-05-28 22:50:37.471,32620,1019.375,0,0
19,19,2021-05-28 22:50:37.993,32622,1019.4375,0,0
20,20,2021-05-28 22:50:38.530,32621,1019.40625,0,0
21,21,2021-05-28 22:50:39.052,32620,1019.375,0,0
22,22,2021-05-28 22:50:39.573,32620,1019.375,0,0
23,23,2021-05-28 22:50:40.095,32620,1019.375,0,0
24,24,2021-05-28 22:50:40.620,32613,1019.15625,0,0
25,25,2021-05-28 22:50:41.162,32619,1019.34375,0,0
26,26,2021-05-28 22:50:41.700,32621,1019.40625,0,0
27,27,2021-05-28 22:50:42.223,32619,1019.34375,0,0
28,28,2021-05-28 22:50:42.758,32620,1019.375,0,0
29,29,2021-05-28 22:50:43.281,32618,1019.3125,0,0
30,30,2021-05-28 22:50:43.818,32616,1019.25,0,0
31,31,2021-05-28 22:50:44.341,32617,1019.28125,0,0
32,32,2021-05-28 22:50:44.877,32618,1019.3125,0,0
33,33,2021-05-28 22:50:45.406,32618,1019.3125,0,0
34,34,2021-05-28 22:50:45.940,32618,1019.3125,0,0
35,35,2021-05-28 22:50:46.463,32618,1019.3125,0,0
36,36,2021-05-28 22:50:46.997,32617,1019.28125,0,0
37,37,2021-05-28 22:50:47.519,32618,1019.3125,0,0
38,38,2021-05-28 22:50:48.040,32618,1019.3125,0,0
39,39,2021-05-28 22:50:48.562,32618,1019.3125,0,0
40,40,2021-05-28 22:50:49.088,32616,1019.25,0,0
41,41,2021-05-28 22:50:49.611,32615,1019.21875,0,0
42,42,2021-05-28 22:50:50.134,32617,1019.28125,0,0
43,43,2021-05-28 22:50:50.662,32614,1019.1875,0,0
44,44,2021-05-28 22:50:51.201,32615,1019.21875,0,0
45,45,2021-05-28 22:50:51.722,32614,1019.1875,0,0
46,46,2021-05-28 22:50:52.245,32616,1019.25,0,0
47,47,2021-05-28 22:50:52.789,32617,1019.28125,0,0
