,Unnamed: 0,Time,ValueRAW,Value,RealConcentration,PreConc
0,0,2021-06-09 21:45:22.062,32288,1009.0,0.5,0
1,1,2021-06-09 21:45:22.585,32242,1007.5625,0.5,0
2,2,2021-06-09 21:45:23.120,32235,1007.34375,0.5,0
3,3,2021-06-09 21:45:23.643,32219,1006.84375,0.5,0
4,4,2021-06-09 21:45:24.178,32205,1006.40625,0.5,0
5,5,2021-06-09 21:45:24.706,32196,1006.125,0.5,0
6,6,2021-06-09 21:45:25.238,32189,1005.90625,0.5,0
7,7,2021-06-09 21:45:25.772,32185,1005.78125,0.5,0
8,8,2021-06-09 21:45:26.296,32172,1005.375,0.5,0
9,9,2021-06-09 21:45:26.830,32170,1005.3125,0.5,0
10,10,2021-06-09 21:45:27.353,32162,1005.0625,0.5,0
11,11,2021-06-09 21:45:27.879,32160,1005.0,0.5,0
12,12,2021-06-09 21:45:28.417,32160,1005.0,0.5,0
13,13,2021-06-09 21:45:28.941,32146,1004.5625,0.5,0
14,14,2021-06-09 21:45:29.475,32146,1004.5625,0.5,0
15,15,2021-06-09 21:45:29.998,32140,1004.375,0.5,0
16,16,2021-06-09 21:45:30.533,32143,1004.46875,0.5,0
17,17,2021-06-09 21:45:31.057,32144,1004.5,0.5,0
18,18,2021-06-09 21:45:31.585,32142,1004.4375,0.5,0
19,19,2021-06-09 21:45:32.129,32140,1004.375,0.5,0
20,20,2021-06-09 21:45:32.652,32136,1004.25,0.5,0
21,21,2021-06-09 21:45:33.186,32139,1004.34375,0.5,0
22,22,2021-06-09 21:45:33.710,32139,1004.34375,0.5,0
23,23,2021-06-09 21:45:34.244,32118,1003.6875,0.5,0
24,24,2021-06-09 21:45:34.768,32124,1003.875,0.5,0
25,25,2021-06-09 21:45:35.296,32137,1004.28125,0.5,0
26,26,2021-06-09 21:45:35.831,32138,1004.3125,0.5,0
27,27,2021-06-09 21:45:36.354,32153,1004.78125,0.5,0
28,28,2021-06-09 21:45:36.888,32153,1004.78125,0.5,0
29,29,2021-06-09 21:45:37.410,32155,1004.84375,0.5,0
30,30,2021-06-09 21:45:37.934,32155,1004.84375,0.5,0
31,31,2021-06-09 21:45:38.464,32155,1004.84375,0.5,0
32,32,2021-06-09 21:45:38.994,32156,1004.875,0.5,0
33,33,2021-06-09 21:45:39.516,32157,1004.90625,0.5,0
34,34,2021-06-09 21:45:40.040,32166,1005.1875,0.5,0
35,35,2021-06-09 21:45:40.574,32172,1005.375,0.5,0
36,36,2021-06-09 21:45:41.097,32170,1005.3125,0.5,0
37,37,2021-06-09 21:45:41.636,32168,1005.25,0.5,0
38,38,2021-06-09 21:45:42.186,32168,1005.25,0.5,0
39,39,2021-06-09 21:45:42.709,32178,1005.5625,0.5,0
40,40,2021-06-09 21:45:43.244,32181,1005.65625,0.5,0
41,41,2021-06-09 21:45:43.767,32178,1005.5625,0.5,0
42,42,2021-06-09 21:45:44.302,32168,1005.25,0.5,0
43,43,2021-06-09 21:45:44.824,32164,1005.125,0.5,0
44,44,2021-06-09 21:45:45.349,32167,1005.21875,0.5,0
45,45,2021-06-09 21:45:45.896,32167,1005.21875,0.5,0
46,46,2021-06-09 21:45:46.419,32185,1005.78125,0.5,0
47,47,2021-06-09 21:45:46.954,32187,1005.84375,0.5,0
48,48,2021-06-09 21:45:47.477,32195,1006.09375,0.5,0
49,49,2021-06-09 21:45:48.012,32200,1006.25,0.5,0
50,50,2021-06-09 21:45:48.536,32203,1006.34375,0.5,0
51,51,2021-06-09 21:45:49.069,32205,1006.40625,0.5,0
52,52,2021-06-09 21:45:49.605,32205,1006.40625,0.5,0
53,53,2021-06-09 21:45:50.128,32205,1006.40625,0.5,0
54,54,2021-06-09 21:45:50.663,32201,1006.28125,0.5,0
55,55,2021-06-09 21:45:51.186,32209,1006.53125,0.5,0
56,56,2021-06-09 21:45:51.722,32220,1006.875,0.5,0
57,57,2021-06-09 21:45:52.249,32225,1007.03125,0.5,0
58,58,2021-06-09 21:45:52.783,32230,1007.1875,0.5,0
59,59,2021-06-09 21:45:53.317,32232,1007.25,0.5,0
60,60,2021-06-09 21:45:53.840,32234,1007.3125,0.5,0
61,61,2021-06-09 21:45:54.376,32230,1007.1875,0.5,0
62,62,2021-06-09 21:45:54.899,32242,1007.5625,0.5,0
63,63,2021-06-09 21:45:55.437,32248,1007.75,0.5,0
64,64,2021-06-09 21:45:55.980,32248,1007.75,0.5,0
65,65,2021-06-09 21:45:56.503,32253,1007.90625,0.5,0
66,66,2021-06-09 21:45:57.037,32253,1007.90625,0.5,0
67,67,2021-06-09 21:45:57.560,32257,1008.03125,0.5,0
68,68,2021-06-09 21:45:58.096,32258,1008.0625,0.5,0
69,69,2021-06-09 21:45:58.618,32260,1008.125,0.5,0
70,70,2021-06-09 21:45:59.143,32272,1008.5,0.5,0
71,71,2021-06-09 21:45:59.694,32273,1008.53125,0.5,0
72,72,2021-06-09 21:46:00.217,32279,1008.71875,0.5,0
73,73,2021-06-09 21:46:00.752,32277,1008.65625,0.5,0
74,74,2021-06-09 21:46:01.275,32279,1008.71875,0.5,0
75,75,2021-06-09 21:46:01.810,32258,1008.0625,0.5,0
76,76,2021-06-09 21:46:02.334,32274,1008.5625,0.5,0
77,77,2021-06-09 21:46:02.863,32281,1008.78125,0.5,0
78,78,2021-06-09 21:46:03.398,32281,1008.78125,0.5,0
79,79,2021-06-09 21:46:03.922,32287,1008.96875,0.5,0
80,80,2021-06-09 21:46:04.457,32276,1008.625,0.5,0
81,81,2021-06-09 21:46:04.978,32288,1009.0,0.5,0
82,82,2021-06-09 21:46:05.504,32297,1009.28125,0.5,0
83,83,2021-06-09 21:46:06.051,32297,1009.28125,0.5,0
84,84,2021-06-09 21:46:06.574,32302,1009.4375,0.5,0
85,85,2021-06-09 21:46:07.109,32297,1009.28125,0.5,0
86,86,2021-06-09 21:46:07.632,32309,1009.65625,0.5,0
87,87,2021-06-09 21:46:08.168,32307,1009.59375,0.5,0
88,88,2021-06-09 21:46:08.692,32310,1009.6875,0.5,0
89,89,2021-06-09 21:46:09.222,32300,1009.375,0.5,0
90,90,2021-06-09 21:46:09.765,32302,1009.4375,0.5,0
91,91,2021-06-09 21:46:10.288,32308,1009.625,0.5,0
92,92,2021-06-09 21:46:10.823,32308,1009.625,0.5,0
93,93,2021-06-09 21:46:11.346,32308,1009.625,0.5,0
94,94,2021-06-09 21:46:11.881,32306,1009.5625,0.5,0
95,95,2021-06-09 21:46:12.406,32304,1009.5,0.5,0
96,96,2021-06-09 21:46:12.936,32306,1009.5625,0.5,0
97,97,2021-06-09 21:46:13.471,32306,1009.5625,0.5,0
98,98,2021-06-09 21:46:13.994,32307,1009.59375,0.5,0
99,99,2021-06-09 21:46:14.529,32316,1009.875,0.5,0
100,100,2021-06-09 21:46:15.052,32319,1009.96875,0.5,0
101,101,2021-06-09 21:46:15.590,32309,1009.65625,0.5,0
102,102,2021-06-09 21:46:16.131,32309,1009.65625,0.5,0
103,103,2021-06-09 21:46:16.655,32322,1010.0625,0.5,0
104,104,2021-06-09 21:46:17.189,32322,1010.0625,0.5,0
105,105,2021-06-09 21:46:17.713,32343,1010.71875,0.5,0
106,106,2021-06-09 21:46:18.248,32336,1010.5,0.5,0
107,107,2021-06-09 21:46:18.770,32339,1010.59375,0.5,0
108,108,2021-06-09 21:46:19.295,32329,1010.28125,0.5,0
109,109,2021-06-09 21:46:19.848,32329,1010.28125,0.5,0
110,110,2021-06-09 21:46:20.372,32327,1010.21875,0.5,0
111,111,2021-06-09 21:46:20.906,32335,1010.46875,0.5,0
112,112,2021-06-09 21:46:21.430,32327,1010.21875,0.5,0
113,113,2021-06-09 21:46:21.965,32329,1010.28125,0.5,0
114,114,2021-06-09 21:46:22.489,32330,1010.3125,0.5,0
115,115,2021-06-09 21:46:23.023,32346,1010.8125,0.5,0
116,116,2021-06-09 21:46:23.563,32350,1010.9375,0.5,0
117,117,2021-06-09 21:46:24.087,32348,1010.875,0.5,0
118,118,2021-06-09 21:46:24.622,32334,1010.4375,0.5,0
119,119,2021-06-09 21:46:25.145,32335,1010.46875,0.5,0
120,120,2021-06-09 21:46:25.681,32337,1010.53125,0.5,0
121,121,2021-06-09 21:46:26.210,32345,1010.78125,0.5,0
122,122,2021-06-09 21:46:26.742,32340,1010.625,0.5,0
123,123,2021-06-09 21:46:27.277,32335,1010.46875,0.5,0
124,124,2021-06-09 21:46:27.800,32330,1010.3125,0.5,0
125,125,2021-06-09 21:46:28.336,32334,1010.4375,0.5,0
126,126,2021-06-09 21:46:28.858,32340,1010.625,0.5,0
127,127,2021-06-09 21:46:29.382,32333,1010.40625,0.5,0
128,128,2021-06-09 21:46:29.934,32333,1010.40625,0.5,0
129,129,2021-06-09 21:46:30.458,32332,1010.375,0.5,0
130,130,2021-06-09 21:46:30.993,32336,1010.5,0.5,0
131,131,2021-06-09 21:46:31.516,32327,1010.21875,0.5,0
132,132,2021-06-09 21:46:32.052,32337,1010.53125,0.5,0
133,133,2021-06-09 21:46:32.577,32325,1010.15625,0.5,0
134,134,2021-06-09 21:46:33.110,32318,1009.9375,0.5,0
135,135,2021-06-09 21:46:33.648,32324,1010.125,0.5,0
136,136,2021-06-09 21:46:34.172,32316,1009.875,0.5,0
137,137,2021-06-09 21:46:34.707,32317,1009.90625,0.5,0
138,138,2021-06-09 21:46:35.230,32310,1009.6875,0.5,0
139,139,2021-06-09 21:46:35.768,32324,1010.125,0.5,0
140,140,2021-06-09 21:46:36.296,32315,1009.84375,0.5,0
141,141,2021-06-09 21:46:36.831,32307,1009.59375,0.5,0
142,142,2021-06-09 21:46:37.367,32308,1009.625,0.5,0
143,143,2021-06-09 21:46:37.891,32299,1009.34375,0.5,0
144,144,2021-06-09 21:46:38.426,32299,1009.34375,0.5,0
145,145,2021-06-09 21:46:38.948,32309,1009.65625,0.5,0
146,146,2021-06-09 21:46:39.474,32305,1009.53125,0.5,0
147,147,2021-06-09 21:46:40.011,32305,1009.53125,0.5,0
148,148,2021-06-09 21:46:40.534,32306,1009.5625,0.5,0
149,149,2021-06-09 21:46:41.069,32307,1009.59375,0.5,0
150,150,2021-06-09 21:46:41.596,32282,1008.8125,0.5,0
151,151,2021-06-09 21:46:42.134,32290,1009.0625,0.5,0
152,152,2021-06-09 21:46:42.660,32286,1008.9375,0.5,0
153,153,2021-06-09 21:46:43.192,32296,1009.25,0.5,0
154,154,2021-06-09 21:46:43.742,32299,1009.34375,0.5,0
155,155,2021-06-09 21:46:44.266,32289,1009.03125,0.5,0
156,156,2021-06-09 21:46:44.805,32290,1009.0625,0.5,0
157,157,2021-06-09 21:46:45.329,32285,1008.90625,0.5,0
158,158,2021-06-09 21:46:45.868,32280,1008.75,0.5,0
159,159,2021-06-09 21:46:46.394,32283,1008.84375,0.5,0
160,160,2021-06-09 21:46:46.926,32272,1008.5,0.5,0
161,161,2021-06-09 21:46:47.464,32277,1008.65625,0.5,0
162,162,2021-06-09 21:46:47.988,32293,1009.15625,0.5,0
163,163,2021-06-09 21:46:48.527,32287,1008.96875,0.5,0
164,164,2021-06-09 21:46:49.050,32269,1008.40625,0.5,0
165,165,2021-06-09 21:46:49.584,32279,1008.71875,0.5,0
166,166,2021-06-09 21:46:50.128,32279,1008.71875,0.5,0
167,167,2021-06-09 21:46:50.652,32258,1008.0625,0.5,0
168,168,2021-06-09 21:46:51.189,32248,1007.75,0.5,0
169,169,2021-06-09 21:46:51.714,32274,1008.5625,0.5,0
170,170,2021-06-09 21:46:52.252,32276,1008.625,0.5,0
171,171,2021-06-09 21:46:52.776,32263,1008.21875,0.5,0
172,172,2021-06-09 21:46:53.302,32261,1008.15625,0.5,0
173,173,2021-06-09 21:46:53.865,32261,1008.15625,0.5,0
174,174,2021-06-09 21:46:54.389,32246,1007.6875,0.5,0
175,175,2021-06-09 21:46:54.928,32255,1007.96875,0.5,0
176,176,2021-06-09 21:46:55.453,32221,1006.90625,0.5,0
177,177,2021-06-09 21:46:55.991,32209,1006.53125,0.5,0
178,178,2021-06-09 21:46:56.517,32227,1007.09375,0.5,0
179,179,2021-06-09 21:46:57.052,32214,1006.6875,0.5,0
180,180,2021-06-09 21:46:57.603,32217,1006.78125,0.5,0
181,181,2021-06-09 21:46:58.128,32234,1007.3125,0.5,0
182,182,2021-06-09 21:46:58.666,32230,1007.1875,0.5,0
183,183,2021-06-09 21:46:59.190,32215,1006.71875,0.5,0
184,184,2021-06-09 21:46:59.731,32205,1006.40625,0.5,0
185,185,2021-06-09 21:47:00.261,32203,1006.34375,0.5,0
186,186,2021-06-09 21:47:00.799,32184,1005.75,0.5,0
187,187,2021-06-09 21:47:01.337,32197,1006.15625,0.5,0
188,188,2021-06-09 21:47:01.862,32183,1005.71875,0.5,0
189,189,2021-06-09 21:47:02.400,32194,1006.0625,0.5,0
190,190,2021-06-09 21:47:02.925,32187,1005.84375,0.5,0
191,191,2021-06-09 21:47:03.467,32190,1005.9375,0.5,0
192,192,2021-06-09 21:47:04.010,32190,1005.9375,0.5,0
193,193,2021-06-09 21:47:04.535,32175,1005.46875,0.5,0
194,194,2021-06-09 21:47:05.073,32170,1005.3125,0.5,0
195,195,2021-06-09 21:47:05.598,32197,1006.15625,0.5,0
196,196,2021-06-09 21:47:06.136,32199,1006.21875,0.5,0
197,197,2021-06-09 21:47:06.660,32202,1006.3125,0.5,0
198,198,2021-06-09 21:47:07.186,32198,1006.1875,0.5,0
199,199,2021-06-09 21:47:07.749,32198,1006.1875,0.5,0
200,200,2021-06-09 21:47:08.274,32190,1005.9375,0.5,0
201,201,2021-06-09 21:47:08.812,32180,1005.625,0.5,0
202,202,2021-06-09 21:47:09.336,32210,1006.5625,0.5,0
203,203,2021-06-09 21:47:09.875,32205,1006.40625,0.5,0
204,204,2021-06-09 21:47:10.401,32201,1006.28125,0.5,0
205,205,2021-06-09 21:47:10.936,32172,1005.375,0.5,0
206,206,2021-06-09 21:47:11.487,32171,1005.34375,0.5,0
207,207,2021-06-09 21:47:12.011,32148,1004.625,0.5,0
208,208,2021-06-09 21:47:12.549,32158,1004.9375,0.5,0
209,209,2021-06-09 21:47:13.073,32177,1005.53125,0.5,0
210,210,2021-06-09 21:47:13.611,32188,1005.875,0.5,0
211,211,2021-06-09 21:47:14.137,32181,1005.65625,0.5,0
212,212,2021-06-09 21:47:14.673,32172,1005.375,0.5,0
213,213,2021-06-09 21:47:15.212,32173,1005.40625,0.5,0
214,214,2021-06-09 21:47:15.736,32151,1004.71875,0.5,0
215,215,2021-06-09 21:47:16.275,32148,1004.625,0.5,0
216,216,2021-06-09 21:47:16.800,32147,1004.59375,0.5,0
217,217,2021-06-09 21:47:17.339,32151,1004.71875,0.5,0
218,218,2021-06-09 21:47:17.866,32151,1004.71875,0.5,0
219,219,2021-06-09 21:47:18.404,32147,1004.59375,0.5,0
220,220,2021-06-09 21:47:18.942,32156,1004.875,0.5,0
221,221,2021-06-09 21:47:19.467,32153,1004.78125,0.5,0
222,222,2021-06-09 21:47:20.005,32158,1004.9375,0.5,0
223,223,2021-06-09 21:47:20.530,32144,1004.5,0.5,0
224,224,2021-06-09 21:47:21.070,32138,1004.3125,0.5,0
225,225,2021-06-09 21:47:21.607,32138,1004.3125,0.5,0
226,226,2021-06-09 21:47:22.137,32157,1004.90625,0.5,0
227,227,2021-06-09 21:47:22.675,32159,1004.96875,0.5,0
228,228,2021-06-09 21:47:23.200,32146,1004.5625,0.5,0
229,229,2021-06-09 21:47:23.737,32154,1004.8125,0.5,0
230,230,2021-06-09 21:47:24.268,32125,1003.90625,0.5,0
231,231,2021-06-09 21:47:24.797,32134,1004.1875,0.5,0
232,232,2021-06-09 21:47:25.353,32134,1004.1875,0.5,0
233,233,2021-06-09 21:47:25.877,32127,1003.96875,0.5,0
234,234,2021-06-09 21:47:26.415,32129,1004.03125,0.5,0
235,235,2021-06-09 21:47:26.940,32128,1004.0,0.5,0
236,236,2021-06-09 21:47:27.478,32123,1003.84375,0.5,0
237,237,2021-06-09 21:47:28.003,32126,1003.9375,0.5,0
238,238,2021-06-09 21:47:28.529,32121,1003.78125,0.5,0
239,239,2021-06-09 21:47:29.088,32121,1003.78125,0.5,0
240,240,2021-06-09 21:47:29.613,32114,1003.5625,0.5,0
241,241,2021-06-09 21:47:30.151,32112,1003.5,0.5,0
242,242,2021-06-09 21:47:30.676,32087,1002.71875,0.5,0
243,243,2021-06-09 21:47:31.215,32110,1003.4375,0.5,0
244,244,2021-06-09 21:47:31.741,32129,1004.03125,0.5,0
245,245,2021-06-09 21:47:32.276,32133,1004.15625,0.5,0
246,246,2021-06-09 21:47:32.816,32131,1004.09375,0.5,0
247,247,2021-06-09 21:47:33.341,32102,1003.1875,0.5,0
248,248,2021-06-09 21:47:33.879,32112,1003.5,0.5,0
249,249,2021-06-09 21:47:34.402,32097,1003.03125,0.5,0
250,250,2021-06-09 21:47:34.938,32072,1002.25,0.5,0
251,251,2021-06-09 21:47:35.475,32073,1002.28125,0.5,0
252,252,2021-06-09 21:47:36.002,32070,1002.1875,0.5,0
253,253,2021-06-09 21:47:36.541,32066,1002.0625,0.5,0
254,254,2021-06-09 21:47:37.065,32058,1001.8125,0.5,0
255,255,2021-06-09 21:47:37.603,32038,1001.1875,0.5,0
256,256,2021-06-09 21:47:38.127,32063,1001.96875,0.5,0
257,257,2021-06-09 21:47:38.654,32058,1001.8125,0.5,0
258,258,2021-06-09 21:47:39.209,32058,1001.8125,0.5,0
259,259,2021-06-09 21:47:39.734,32052,1001.625,0.5,0
260,260,2021-06-09 21:47:40.272,32048,1001.5,0.5,0
261,261,2021-06-09 21:47:40.796,32025,1000.78125,0.5,0
262,262,2021-06-09 21:47:41.336,32002,1000.0625,0.5,0
263,263,2021-06-09 21:47:41.862,31969,999.03125,0.5,0
264,264,2021-06-09 21:47:42.393,31970,999.0625,0.5,0
265,265,2021-06-09 21:47:42.947,31974,999.1875,0.5,0
266,266,2021-06-09 21:47:43.471,31987,999.59375,0.5,0
267,267,2021-06-09 21:47:44.009,31992,999.75,0.5,0
268,268,2021-06-09 21:47:44.534,32021,1000.65625,0.5,0
269,269,2021-06-09 21:47:45.074,32026,1000.8125,0.5,0
270,270,2021-06-09 21:47:45.600,32003,1000.09375,0.5,0
271,271,2021-06-09 21:47:46.136,32002,1000.0625,0.5,0
272,272,2021-06-09 21:47:46.674,32006,1000.1875,0.5,0
273,273,2021-06-09 21:47:47.199,32011,1000.34375,0.5,0
274,274,2021-06-09 21:47:47.738,32017,1000.53125,0.5,0
275,275,2021-06-09 21:47:48.263,32007,1000.21875,0.5,0
276,276,2021-06-09 21:47:48.806,32003,1000.09375,0.5,0
277,277,2021-06-09 21:47:49.355,32003,1000.09375,0.5,0
278,278,2021-06-09 21:47:49.880,31995,999.84375,0.5,0
279,279,2021-06-09 21:47:50.418,32001,1000.03125,0.5,0
280,280,2021-06-09 21:47:50.944,31997,999.90625,0.5,0
281,281,2021-06-09 21:47:51.483,31997,999.90625,0.5,0
282,282,2021-06-09 21:47:52.007,31953,998.53125,0.5,0
283,283,2021-06-09 21:47:52.533,31995,999.84375,0.5,0
284,284,2021-06-09 21:47:53.099,31995,999.84375,0.5,0
285,285,2021-06-09 21:47:53.624,31978,999.3125,0.5,0
286,286,2021-06-09 21:47:54.163,31982,999.4375,0.5,0
287,287,2021-06-09 21:47:54.688,32005,1000.15625,0.5,0
288,288,2021-06-09 21:47:55.227,32015,1000.46875,0.5,0
289,289,2021-06-09 21:47:55.751,31976,999.25,0.5,0
290,290,2021-06-09 21:47:56.285,31954,998.5625,0.5,0
291,291,2021-06-09 21:47:56.847,31954,998.5625,0.5,0
292,292,2021-06-09 21:47:57.372,31934,997.9375,0.5,0
293,293,2021-06-09 21:47:57.911,31942,998.1875,0.5,0
294,294,2021-06-09 21:47:58.435,31951,998.46875,0.5,0
295,295,2021-06-09 21:47:58.974,31967,998.96875,0.5,0
296,296,2021-06-09 21:47:59.500,31916,997.375,0.5,0
297,297,2021-06-09 21:48:00.036,31942,998.1875,0.5,0
298,298,2021-06-09 21:48:00.596,31942,998.1875,0.5,0
299,299,2021-06-09 21:48:01.121,31930,997.8125,0.5,0
300,300,2021-06-09 21:48:01.664,31903,996.96875,0.5,0
301,301,2021-06-09 21:48:02.189,31925,997.65625,0.5,0
302,302,2021-06-09 21:48:02.729,31905,997.03125,0.5,0
303,303,2021-06-09 21:48:03.256,31897,996.78125,0.5,0
304,304,2021-06-09 21:48:03.784,31905,997.03125,0.5,0
305,305,2021-06-09 21:48:04.355,31905,997.03125,0.5,0
306,306,2021-06-09 21:48:04.880,31914,997.3125,0.5,0
307,307,2021-06-09 21:48:05.418,31917,997.40625,0.5,0
308,308,2021-06-09 21:48:05.943,31895,996.71875,0.5,0
309,309,2021-06-09 21:48:06.483,31904,997.0,0.5,0
310,310,2021-06-09 21:48:07.013,31894,996.6875,0.5,0
311,311,2021-06-09 21:48:07.550,31899,996.84375,0.5,0
312,312,2021-06-09 21:48:08.094,31898,996.8125,0.5,0
313,313,2021-06-09 21:48:08.618,31849,995.28125,0.5,0
314,314,2021-06-09 21:48:09.159,31835,994.84375,0.5,0
315,315,2021-06-09 21:48:09.684,31855,995.46875,0.5,0
316,316,2021-06-09 21:48:10.223,31881,996.28125,0.5,0
317,317,2021-06-09 21:48:10.751,31834,994.8125,0.5,0
318,318,2021-06-09 21:48:11.284,31842,995.0625,0.5,0
319,319,2021-06-09 21:48:11.823,31850,995.3125,0.5,0
320,320,2021-06-09 21:48:12.351,31775,992.96875,0.5,0
321,321,2021-06-09 21:48:12.890,31797,993.65625,0.5,0
322,322,2021-06-09 21:48:13.415,31818,994.3125,0.5,0
323,323,2021-06-09 21:48:13.957,31807,993.96875,0.5,0
324,324,2021-06-09 21:48:14.492,31807,993.96875,0.5,0
325,325,2021-06-09 21:48:15.027,31781,993.15625,0.5,0
326,326,2021-06-09 21:48:15.566,31779,993.09375,0.5,0
327,327,2021-06-09 21:48:16.091,31776,993.0,0.5,0
328,328,2021-06-09 21:48:16.630,31757,992.40625,0.5,0
329,329,2021-06-09 21:48:17.153,31782,993.1875,0.5,0
330,330,2021-06-09 21:48:17.686,31802,993.8125,0.5,0
331,331,2021-06-09 21:48:18.241,31802,993.8125,0.5,0
332,332,2021-06-09 21:48:18.766,31811,994.09375,0.5,0
333,333,2021-06-09 21:48:19.305,31811,994.09375,0.5,0
334,334,2021-06-09 21:48:19.830,31789,993.40625,0.5,0
335,335,2021-06-09 21:48:20.369,31761,992.53125,0.5,0
336,336,2021-06-09 21:48:20.895,31771,992.84375,0.5,0
337,337,2021-06-09 21:48:21.422,31734,991.6875,0.5,0
338,338,2021-06-09 21:48:21.991,31734,991.6875,0.5,0
339,339,2021-06-09 21:48:22.516,31741,991.90625,0.5,0
340,340,2021-06-09 21:48:23.059,31705,990.78125,0.5,0
341,341,2021-06-09 21:48:23.584,31713,991.03125,0.5,0
342,342,2021-06-09 21:48:24.125,31713,991.03125,0.5,0
343,343,2021-06-09 21:48:24.651,31700,990.625,0.5,0
344,344,2021-06-09 21:48:25.188,31711,990.96875,0.5,0
345,345,2021-06-09 21:48:25.748,31711,990.96875,0.5,0
346,346,2021-06-09 21:48:26.273,31682,990.0625,0.5,0
347,347,2021-06-09 21:48:26.812,31685,990.15625,0.5,0
348,348,2021-06-09 21:48:27.337,31641,988.78125,0.5,0
349,349,2021-06-09 21:48:27.877,31655,989.21875,0.5,0
350,350,2021-06-09 21:48:28.407,31701,990.65625,0.5,0
351,351,2021-06-09 21:48:28.935,31668,989.625,0.5,0
352,352,2021-06-09 21:48:29.507,31668,989.625,0.5,0
353,353,2021-06-09 21:48:30.033,31683,990.09375,0.5,0
354,354,2021-06-09 21:48:30.573,31691,990.34375,0.5,0
355,355,2021-06-09 21:48:31.098,31705,990.78125,0.5,0
356,356,2021-06-09 21:48:31.637,31691,990.34375,0.5,0
357,357,2021-06-09 21:48:32.163,31642,988.8125,0.5,0
358,358,2021-06-09 21:48:32.699,31654,989.1875,0.5,0
359,359,2021-06-09 21:48:33.239,31654,989.1875,0.5,0
360,360,2021-06-09 21:48:33.767,31641,988.78125,0.5,0
361,361,2021-06-09 21:48:34.306,31649,989.03125,0.5,0
362,362,2021-06-09 21:48:34.831,31607,987.71875,0.5,0
363,363,2021-06-09 21:48:35.373,31605,987.65625,0.5,0
364,364,2021-06-09 21:48:35.906,31605,987.65625,0.5,0
365,365,2021-06-09 21:48:36.442,31612,987.875,0.5,0
366,366,2021-06-09 21:48:36.981,31630,988.4375,0.5,0
367,367,2021-06-09 21:48:37.506,31609,987.78125,0.5,0
368,368,2021-06-09 21:48:38.045,31629,988.40625,0.5,0
369,369,2021-06-09 21:48:38.568,31601,987.53125,0.5,0
370,370,2021-06-09 21:48:39.103,31616,988.0,0.5,0
371,371,2021-06-09 21:48:39.657,31616,988.0,0.5,0
372,372,2021-06-09 21:48:40.182,31607,987.71875,0.5,0
373,373,2021-06-09 21:48:40.722,31595,987.34375,0.5,0
374,374,2021-06-09 21:48:41.247,31561,986.28125,0.5,0
375,375,2021-06-09 21:48:41.787,31543,985.71875,0.5,0
376,376,2021-06-09 21:48:42.314,31520,985.0,0.5,0
377,377,2021-06-09 21:48:42.841,31543,985.71875,0.5,0
378,378,2021-06-09 21:48:43.411,31543,985.71875,0.5,0
379,379,2021-06-09 21:48:43.936,31553,986.03125,0.5,0
380,380,2021-06-09 21:48:44.478,31563,986.34375,0.5,0
381,381,2021-06-09 21:48:45.003,31555,986.09375,0.5,0
382,382,2021-06-09 21:48:45.543,31589,987.15625,0.5,0
383,383,2021-06-09 21:48:46.069,31507,984.59375,0.5,0
384,384,2021-06-09 21:48:46.604,31519,984.96875,0.5,0
385,385,2021-06-09 21:48:47.170,31519,984.96875,0.5,0
386,386,2021-06-09 21:48:47.695,31516,984.875,0.5,0
387,387,2021-06-09 21:48:48.234,31548,985.875,0.5,0
388,388,2021-06-09 21:48:48.760,31535,985.46875,0.5,0
389,389,2021-06-09 21:48:49.300,31479,983.71875,0.5,0
390,390,2021-06-09 21:48:49.829,31496,984.25,0.5,0
391,391,2021-06-09 21:48:50.366,31510,984.6875,0.5,0
